cal_date,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6
2022-01-04,0,0,0,0,1,0,0
2022-01-15,0,1,0,0,0,0,0
2022-01-21,0,2,0,0,0,0,0
2022-01-22,0,2,0,0,0,0,0
2022-01-24,0,2,0,0,0,0,0
2022-01-25,0,4,0,0,0,0,0
2022-01-27,0,2,0,0,0,0,0
2022-01-28,0,1,0,0,0,0,0
2022-01-29,0,2,0,0,0,0,0
2022-02-01,0,0,0,0,0,1,0
2022-02-23,0,2,0,0,0,0,0
2022-02-24,0,52,0,1,0,0,0
2022-02-25,0,28,0,7,0,0,3
2022-02-26,0,14,1,3,0,0,3
2022-02-27,1,20,0,2,0,0,3
2022-02-28,1,14,1,7,0,0,2
2022-03-01,2,17,1,5,0,0,9
2022-03-02,0,17,0,6,0,0,1
2022-03-03,1,28,1,10,0,0,4
2022-03-04,10,16,1,7,0,0,0
2022-03-05,0,18,0,11,0,0,1
2022-03-06,0,18,2,10,1,0,2
2022-03-07,0,20,0,13,0,0,0
2022-03-08,0,13,0,3,0,0,1
2022-03-09,0,13,5,9,0,0,6
2022-03-10,0,10,2,3,0,0,10
2022-03-11,2,20,1,9,0,0,8
2022-03-12,0,14,5,16,0,0,1
2022-03-13,1,8,3,6,1,0,1
2022-03-14,0,13,1,8,0,0,5
2022-03-15,1,16,10,8,0,1,6
2022-03-16,1,14,3,12,2,0,3
2022-03-17,0,8,7,7,1,0,4
2022-03-18,1,6,8,6,0,1,13
2022-03-19,0,9,9,11,0,0,1
2022-03-20,1,8,2,5,1,0,2
2022-03-21,0,19,4,4,1,0,0
2022-03-22,0,18,7,8,2,0,1
2022-03-23,0,9,7,6,0,0,2
2022-03-24,0,12,8,12,0,0,0
2022-03-25,0,8,7,2,1,0,4
2022-03-26,0,16,4,4,0,0,5
2022-03-27,0,13,3,2,0,0,1
2022-03-28,0,15,10,13,3,0,1
2022-03-29,0,9,5,8,0,0,0
2022-03-30,0,13,8,1,1,0,3
2022-03-31,1,27,3,4,0,0,1
2022-04-01,0,20,2,6,2,0,0
2022-04-02,0,25,1,5,0,0,0
2022-04-03,0,27,1,11,0,1,2
2022-04-04,3,20,3,7,0,0,1
2022-04-05,1,21,3,7,1,0,1
2022-04-06,0,14,2,14,1,0,0
2022-04-07,1,20,6,6,2,1,1
2022-04-08,1,16,13,3,0,0,4
2022-04-09,1,9,6,2,1,0,0
2022-04-10,0,14,4,11,0,0,0
2022-04-11,0,26,6,2,2,1,0
2022-04-12,0,11,5,8,0,0,2
2022-04-13,1,5,9,0,0,1,23
2022-04-14,0,19,3,2,2,0,2
2022-04-15,0,10,11,7,0,0,4
2022-04-16,0,12,6,11,0,0,0
2022-04-17,0,6,9,3,3,0,1
2022-04-18,0,19,7,2,3,0,0
2022-04-19,1,16,8,4,1,1,1
2022-04-20,0,11,13,3,1,0,1
2022-04-21,0,13,7,9,0,0,1
2022-04-22,0,12,6,2,3,0,0
2022-04-23,0,16,6,3,2,0,1
2022-04-24,0,8,3,1,0,0,1
2022-04-25,0,6,2,2,3,0,1
2022-04-26,0,3,2,2,0,1,0
2022-04-27,2,12,2,3,3,1,0
2022-04-28,0,8,4,8,4,0,0
2022-04-29,0,8,2,2,4,1,1
2022-04-30,0,9,1,3,2,0,5
2022-05-01,0,6,0,12,2,2,2
2022-05-02,0,3,0,4,4,0,0
2022-05-03,0,12,0,4,8,0,1
2022-05-04,0,11,1,2,4,0,0
2022-05-05,1,11,0,1,7,0,2
2022-05-06,0,13,2,2,6,0,0
2022-05-07,0,15,0,4,5,0,0
2022-05-08,0,14,0,4,5,0,1
2022-05-09,0,7,0,2,8,0,14
2022-05-10,0,13,1,5,18,0,0
2022-05-11,0,4,0,4,12,0,0
2022-05-12,0,6,0,7,10,1,0
2022-05-13,1,10,4,5,8,0,6
2022-05-14,0,14,0,10,1,0,0
2022-05-15,0,7,0,4,16,0,0
2022-05-16,0,9,1,8,6,1,0
2022-05-17,0,4,3,8,12,2,1
2022-05-18,0,5,1,3,10,0,0
2022-05-19,1,13,1,7,5,0,0
2022-05-20,0,5,3,4,13,0,0
2022-05-21,0,3,0,6,6,1,4
2022-05-22,0,7,0,2,16,0,0
2022-05-23,0,12,0,5,8,0,0
2022-05-24,0,7,0,1,9,3,1
2022-05-25,0,16,2,3,12,0,0
2022-05-26,0,16,3,4,7,1,0
2022-05-27,0,9,0,5,9,0,5
2022-05-28,1,12,1,2,17,0,2
2022-05-29,1,13,0,0,7,0,0
2022-05-30,0,10,1,2,3,0,0
2022-05-31,0,4,1,1,4,0,0
2022-06-01,0,9,0,5,3,0,0
2022-06-02,0,4,0,2,4,0,0
2022-06-03,0,14,0,1,4,0,1
2022-06-04,0,19,0,3,12,0,0
2022-06-05,0,4,0,0,10,0,1
2022-06-06,0,19,0,3,5,0,1
2022-06-07,0,7,0,1,3,0,0
2022-06-08,0,1,0,1,1,0,0
2022-06-09,0,1,0,1,3,0,0
